SecurityID,OptionID,Exchange,Currency,Bid,UnderlyingBid,Ask,UnderlyingAsk,Last,UnderlyingLast,ImpliedVolatility,Delta,Gamma,Vega,Theta,CalculationPrice,Volume,OpenInterest,SpecialSettlement,ReferenceExchange,Date,BidTime,AskTime,LastTime,Description,Strike,CallPut,ContractSize,OptionStyle,Version,ExerciseStyle,Expiration,StartDate,VALOR,Issuer,SEDOL,ISIN,Spread,Moneyness,ExpirationDate,CurrentDate,TimeToMaturity
500096,153122369,21,814,4.8000001907,78.269996643,6.5300002098,78.269996643,5.6649999619,78.269996643,0.2053408027,0.4235093892,0.0185429603,39.964458466,-2.514870882,M,0,1660,0,44,2013-03-12,17:30:00,17:29:00,0:00:00,ADS C 84 DEC14,84000,C,100,0,0,A,2014-12-19,2011-07-14,11730015,adidas AG,4031976,DE000A1EWWW0,1.7300000191000002,0.0009317856743214285,2014-12-19,2013-03-12,647
500096,153122369,21,814,4.8000001907,76.199996948,5.5300002098,76.199996948,5.1649999619,76.199996948,0.2138403058,0.3935141861,0.0178837795,38.359020233,-2.48218298,M,0,1660,0,44,2013-03-08,17:30:00,17:30:00,0:00:00,ADS C 84 DEC14,84000,C,100,0,0,A,2014-12-19,2011-07-14,11730015,adidas AG,4031976,DE000A1EWWW0,0.7300000191000002,0.0009071428208095239,2014-12-19,2013-03-08,651
500096,153122369,21,814,3.6099998951,71.669998169,3.9500000477,71.669998169,3.7799999714,71.669998169,0.2208555043,0.3202357888,0.0170533899,33.685279846,-2.219746113,M,0,1660,0,44,2013-03-06,17:29:00,17:24:00,0:00:00,ADS C 84 DEC14,84000,C,100,0,0,A,2014-12-19,2011-07-14,11730015,adidas AG,4031976,DE000A1EWWW0,0.34000015260000005,0.0008532142639166667,2014-12-19,2013-03-06,653
500096,153122369,21,814,3.1400001049,70.279998779,3.4300000668,70.279998779,3.2850000858,70.279998779,0.2187086046,0.2938781977,0.0168759301,31.917049408,-2.069509983,M,0,1660,0,44,2013-03-04,17:29:00,17:19:00,0:00:00,ADS C 84 DEC14,84000,C,100,0,0,A,2014-12-19,2011-07-14,11730015,adidas AG,4031976,DE000A1EWWW0,0.2899999619,0.0008366666521309523,2014-12-19,2013-03-04,655
500096,153703836,21,814,0.0099999998,70.540000916,0.150000006,70.540000916,0.0800000131,70.540000916,0.4175303876,0.0359110013,0.0136912595,1.0921030045,-5.939249039,M,0,17,0,44,2013-03-01,17:20:00,17:29:00,0:00:00,ADS C 82 MAR13,82000,C,100,0,0,A,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.1400000062,0.0008602439136097561,2013-03-15,2013-03-01,14
500096,153703836,21,814,0.0099999998,78.900001526,0.1199999973,78.900001526,0.0649999976,78.900001526,0.4988617897,0.0717559606,0.0664534718,0.5656080246,-51.47737885,M,0,18,0,44,2013-03-14,11:24:00,17:30:00,0:00:00,ADS C 82 MAR13,82000,C,100,0,0,A,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.1099999975,0.0009621951405609756,2013-03-15,2013-03-14,1
500096,153703836,21,814,0.0099999998,78.269996643,0.1099999994,78.269996643,0.0500000007,78.269996643,0.327979207,0.0604772195,0.0515302606,0.8491590023,-16.98040962,M,1,17,0,44,2013-03-12,13:30:00,17:30:00,16:25:00,ADS C 82 MAR13,82000,C,100,0,0,A,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.0999999996,0.0009545121541829269,2013-03-15,2013-03-12,3
500096,153703836,21,814,0.0099999998,76.199996948,0.0500000007,76.199996948,0.0299999993,76.199996948,0.27341941,0.0275047608,0.0219607502,0.6677619219,-4.766909122,M,0,17,0,44,2013-03-08,16:01:00,16:38:00,0:00:00,ADS C 82 MAR13,82000,C,100,0,0,A,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.0400000009,0.0009292682554634147,2013-03-15,2013-03-08,7
500096,153703836,21,814,0.0299999993,71.669998169,0.150000006,71.669998169,0.0900000036,71.669998169,0.4847404063,0.0417219289,0.0163564906,1.0034890175,-9.871710777,M,0,17,0,44,2013-03-06,16:56:00,17:29:00,0:00:00,ADS C 82 MAR13,82000,C,100,0,0,A,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.1200000067,0.0008740243679146341,2013-03-15,2013-03-06,9
500096,153703836,21,814,0.047874435782432556,70.279998779,0.150000006,70.279998779,0.150000006,70.279998779,0.5411245227,0.0553774983,0.0169493891,1.365267992,-12.25819969,A,0,17,0,44,2013-03-04,0:00:00,17:29:00,0:00:00,ADS C 82 MAR13,82000,C,100,0,0,A,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.10212557021756744,0.0008570731558414634,2013-03-15,2013-03-04,11
500096,151976963,21,814,29.61000061,70.279998779,31.11000061,70.279998779,30.36000061,70.279998779,0.5171893239,0.9892433882,0.001635417,1.1844769716,-1.13755703,M,0,0,0,44,2013-03-04,17:29:00,17:30:00,0:00:00,ADS C 40 JUN13,40000,C,100,0,0,A,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,1.5,0.0017569999694749998,2013-06-21,2013-03-04,109
500096,153703840,21,814,-0.007931686006486416,70.540000916,0.150000006,70.540000916,0.150000006,70.540000916,0.5838227272,0.0468618199,0.0121486504,1.353374958,-10.30346966,A,0,0,0,44,2013-03-01,0:00:00,17:30:00,0:00:00,ADS C 86 MAR13,86000,C,100,0,0,A,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.1579316920064864,0.0008202325687906977,2013-03-15,2013-03-01,14
500096,153703840,21,814,0.16740460693836212,78.900001526,0.17740460693836213,78.900001526,0.1199999973,78.900001526,1.0628880262,0.0641278401,0.0285992101,0.5174332261,-100.5679016,A,0,0,0,44,2013-03-14,0:00:00,17:30:00,0:00:00,ADS C 86 MAR13,86000,C,100,0,0,A,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000000009,0.0009174418782093023,2013-03-15,2013-03-14,1
500096,153122371,21,814,23.338754653930664,70.540000916,23.348754653930666,70.540000916,5.2699999809,70.540000916,0.2255474031,0.3556075096,0.0140982801,42.777370453,-1.871986985,S,0,0,0,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADS C 84 DEC15,84000,C,100,0,0,A,2015-12-18,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.0008397619156666666,2015-12-18,2013-03-01,1022
500096,153703840,21,814,0.02726726420223713,78.269996643,0.1099999994,78.269996643,0.1099999994,78.269996643,0.6465790868,0.0573539585,0.0250731204,0.8151739836,-32.10913086,A,0,0,0,44,2013-03-12,0:00:00,17:30:00,0:00:00,ADS C 86 MAR13,86000,C,100,0,0,A,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.08273273519776288,0.0009101162400348837,2013-03-15,2013-03-12,3
500096,153703840,21,814,-0.008878315798938274,76.199996948,0.0599999987,76.199996948,0.0599999987,76.199996948,0.4638960063,0.0320478603,0.0146925095,0.7597476244,-9.180112839,A,0,0,0,44,2013-03-08,0:00:00,17:29:00,0:00:00,ADS C 86 MAR13,86000,C,100,0,0,A,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.06887831449893828,0.000886046476139535,2013-03-15,2013-03-08,7
500096,151977013,21,814,22.260000229,70.540000916,23.760000229,70.540000916,23.010000229,70.540000916,0.2443557978,0.9307919145,0.0091764266,10.433799744,-1.551805019,M,0,0,0,44,2013-03-01,17:30:00,17:30:00,0:00:00,ADS C 48 DEC14,48000,C,100,0,0,A,2014-12-19,2010-10-11,11730015,adidas AG,4031976,DE000A1EWWW0,1.5,0.0014695833524166666,2014-12-19,2013-03-01,658
500096,153703840,21,814,0.0099999998,71.669998169,0.150000006,71.669998169,0.0800000131,71.669998169,0.6069828868,0.0310805794,0.0102662304,0.7891607881,-9.714889526,M,0,0,0,44,2013-03-06,17:20:00,16:03:00,0:00:00,ADS C 86 MAR13,86000,C,100,0,0,A,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.1400000062,0.0008333720717325581,2013-03-15,2013-03-06,9
500096,153703840,21,814,0.026275254786014557,70.279998779,0.150000006,70.279998779,0.150000006,70.279998779,0.6688241959,0.0464148782,0.0119160302,1.1859170198,-13.16508961,A,0,0,0,44,2013-03-04,0:00:00,17:30:00,0:00:00,ADS C 86 MAR13,86000,C,100,0,0,A,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.12372475121398543,0.0008172092881279069,2013-03-15,2013-03-04,11
500096,153122371,21,814,23.51653480529785,78.900001526,23.526534805297853,78.900001526,8.6199998856,78.900001526,0.2222829014,0.4731740952,0.0138520701,50.664459229,-2.255878925,S,0,0,0,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADS C 84 DEC15,84000,C,100,0,0,A,2015-12-18,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.000939285732452381,2015-12-18,2013-03-14,1009
