SecurityID,OptionID,Exchange,Currency,BID_PRICE,UnderlyingBid,ASK_PRICE,UnderlyingAsk,Last,UnderlyingLast,MARK_IV,DELTA,GAMMA,VEGA,THETA,CalculationPrice,Volume,OpenInterest,SpecialSettlement,ReferenceExchange,Date,BidTime,AskTime,LastTime,Description,STRIKE,OPTION_RIGHT,ContractSize,OptionStyle,Version,ExerciseStyle,Expiration,StartDate,VALOR,Issuer,SEDOL,ISIN,NEGOTIATED_PRICE,MONEYNESS,EXPIRY_DATE,QUOTE_DATE,DTE
500096,153779805,21,814,24.49253845214844,71.63999939,24.50253845214844,71.63999939,3.2599999905,71.63999939,0.665884792804718,0.6823647022247314,0.0058630728162825,18.9928035736084,-25.3493595123291,S,0,0,1,44,2013-03-05,0:00:00,0:00:00,18:01:00,ADSE C 70 MAY13/N,70000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0010234285627142,2013-05-17,2013-03-05,73
500096,153123145,21,814,24.516345977783203,70.279998779,24.526345977783205,70.279998779,0.75,70.279998779,0.6555582880973816,0.6421200037002563,0.0060221757739782,18.94918441772461,-24.31597328186035,S,0,0,1,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADSE C 72 MAR13/N,72000,C,100,0,1,E,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0009761110941527,2013-03-15,2013-03-04,11
500096,153779809,21,814,24.085603713989254,79.75,24.09560371398926,79.75,7.2199997902,79.75,0.7069816589355469,0.0533396750688552,0.004596269223839,11.89770221710205,-38.206844329833984,S,0,0,1,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADSE C 72 MAY13/N,72000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0011076388888888,2013-05-17,2013-03-15,63
500096,153779809,21,814,24.21721076965332,78.88999939,24.536529541015625,78.88999939,6.5199999809,78.88999939,0.6761026382446289,0.5747210383415222,0.0047956802882254,17.0668888092041,-35.01264953613281,S,0,0,1,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADSE C 72 MAY13/N,72000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.3193187713623047,0.0010956944359722,2013-05-17,2013-03-13,65
500096,153779809,21,814,24.42151641845703,77.75,24.431516418457036,77.75,5.5799999237,77.75,0.6562823057174683,0.5282893180847168,0.0050723454914987,17.07060432434082,-30.272594451904297,S,0,0,1,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADSE C 72 MAY13/N,72000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0010798611111111,2013-05-17,2013-03-11,67
500096,153779809,21,814,24.266826629638672,76.379997253,24.276826629638677,76.379997253,4.6399998665,76.379997253,0.651152491569519,0.5723530054092407,0.0051782112568616,17.20868682861328,-30.25927734375,S,0,0,1,44,2013-03-07,0:00:00,0:00:00,17:53:00,ADSE C 72 MAY13/N,72000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0010608332951805,2013-05-17,2013-03-07,71
500096,153779809,21,814,24.474815368652344,71.63999939,24.484815368652345,71.63999939,2.2699999809,71.63999939,0.6588793992996216,0.6430308818817139,0.0058632977306842,19.32665634155273,-25.333984375,S,0,0,1,44,2013-03-05,0:00:00,0:00:00,18:01:00,ADSE C 72 MAY13/N,72000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0009949999915277,2013-05-17,2013-03-05,73
500096,153123147,21,814,24.40958023071289,70.540000916,24.41958023071289,70.540000916,0.1899999976,70.540000916,0.6103708148002625,-0.0235596112906932,0.0059430603869259,13.053394317626951,-23.47316169738769,S,0,0,1,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADSE C 76 MAR13/N,76000,C,100,0,1,E,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0009281579067894,2013-03-15,2013-03-01,14
500096,153123147,21,814,24.00558853149414,78.900001526,24.024471282958984,78.900001526,2.9500000477,78.900001526,0.6820518374443054,0.1565632075071334,0.0047436845488846,11.564335823059082,-38.43753433227539,S,0,0,1,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADSE C 76 MAR13/N,76000,C,100,0,1,E,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.0188827514648437,0.0010381579148157,2013-03-15,2013-03-14,1
500096,153123147,21,814,24.06793785095215,78.269996643,24.082141876220703,78.269996643,2.3699998856,78.269996643,0.673647940158844,0.0781372338533401,0.0048134275712072,10.598589897155762,-28.42227935791016,S,0,0,1,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADSE C 76 MAR13/N,76000,C,100,0,1,E,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.0142040252685546,0.0010298683768815,2013-03-15,2013-03-12,3
500096,153532278,21,814,24.932523727416992,79.75,24.942523727416997,79.75,4.0399999619,79.75,0.6553177237510681,-0.441291481256485,0.0058784722350537,27.553571701049805,-39.40653991699219,S,0,0,1,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADSE C 92 DEC14/N,92000,C,100,0,2,E,2014-12-19,2012-09-10,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0008668478260869,2014-12-19,2013-03-15,644
500096,153123147,21,814,24.22304916381836,76.199996948,24.23304916381836,76.199996948,1.1000000238,76.199996948,0.6485361456871033,0.0149162234738469,0.0051004835404455,10.542786598205566,-26.00840187072754,S,0,0,1,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADSE C 76 MAR13/N,76000,C,100,0,1,E,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0010026315387894,2013-03-15,2013-03-08,7
500096,153532278,21,814,25.126712799072266,78.88999939,25.136712799072267,78.88999939,3.7599999905,78.88999939,0.6478508710861206,-0.3581157028675079,0.0058523961342871,26.43643951416016,-36.57500457763672,S,0,0,1,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADSE C 92 DEC14/N,92000,C,100,0,2,E,2014-12-19,2012-09-10,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0008574999933695,2014-12-19,2013-03-13,646
500096,153532278,21,814,25.316856384277344,77.75,25.326856384277345,77.75,3.3800001144,77.75,0.634086549282074,-0.3309760689735412,0.005932745989412,26.43781280517578,-30.38612365722656,S,0,0,1,44,2013-03-11,0:00:00,0:00:00,17:53:00,ADSE C 92 DEC14/N,92000,C,100,0,2,E,2014-12-19,2012-09-10,11730015,adidas AG,4031976,DE000A1EWWW0,0.0100000000000015,0.0008451086956521,2014-12-19,2013-03-11,648
