SecurityID,OptionID,Exchange,Currency,Bid,UnderlyingBid,Ask,UnderlyingAsk,Last,UnderlyingLast,ImpliedVolatility,Delta,Gamma,Vega,Theta,CalculationPrice,Volume,OpenInterest,SpecialSettlement,ReferenceExchange,Date,BidTime,AskTime,LastTime,Description,Strike,CallPut,ContractSize,OptionStyle,Version,ExerciseStyle,Expiration,StartDate,VALOR,Issuer,SEDOL,ISIN,Spread,Moneyness,ExpirationDate,CurrentDate,TimeToMaturity
500096,153703857,21,814,36.78714370727539,78.269996643,48.10218811035156,78.269996643,76.959999084,78.269996643,0.7656979560852051,0.5410518646240234,0.0012603747891262174,17.726661682128906,-10.313029289245605,S,0,0,1,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADSE C .01 JUN13/N,10,C,100,0,2,E,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,11.315044403076172,7.8269996643,2013-06-21,2013-03-12,101
500096,153779773,21,814,26.44428062438965,76.199996948,26.45428062438965,76.199996948,20.950000763,76.199996948,0.6988416910171509,0.6891632676124573,0.0024100979790091515,17.856019973754883,-17.350345611572266,S,0,0,1,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADSE C 54 MAY13/N,54000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.0014111110545925926,2013-05-17,2013-03-08,70
500096,153123207,21,814,24.39111328125,76.379997253,24.40111328125,76.379997253,12.229999542,76.379997253,0.6602646112442017,0.6337649822235107,0.005119977984577417,17.01473045349121,-30.409738540649414,S,0,0,1,44,2013-03-07,0:00:00,0:00:00,17:53:00,ADSE C 68 DEC14/N,68000,C,100,0,2,E,2014-12-19,2012-04-30,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.0011232352537205881,2014-12-19,2013-03-07,652
500096,153547359,21,814,24.22167205810547,76.199996948,24.23167205810547,76.199996948,2.6800000668,76.199996948,0.6349145174026489,-0.22820620238780975,0.0052968598902225494,20.444129943847656,-26.9044246673584,S,0,0,1,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADSE C 80 SEP13/N,80000,C,100,0,2,E,2013-09-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.00095249996185,2013-09-20,2013-03-08,196
500096,153742541,21,814,26.852949142456055,78.900001526,28.594913482666016,78.900001526,28.909999847,78.900001526,0.6625382900238037,0.5388627648353577,0.0017145717283710837,17.134021759033203,-13.684348106384277,S,0,0,1,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADSE C 50 APR13/N,50000,C,100,0,2,E,2013-04-19,2013-01-21,11730015,adidas AG,4031976,DE000A1EWWW0,1.741964340209961,0.00157800003052,2013-04-19,2013-03-14,36
500096,153123137,21,814,25.02090072631836,71.63999939,25.0886173248291,71.63999939,15.670000076,71.63999939,0.7471107840538025,0.7172750234603882,0.003928725607693195,14.511025428771973,-24.035879135131836,S,0,0,1,44,2013-03-05,0:00:00,0:00:00,18:01:00,ADSE C 56 MAR13/N,56000,C,100,0,1,E,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.06771659851074219,0.0012792857033928572,2013-03-15,2013-03-05,10
500096,153703845,21,814,24.91982078552246,71.669998169,24.929820785522463,71.669998169,0.0099999998,71.669998169,0.6007715463638306,-0.3196178078651428,0.0065309093333780766,24.102548599243164,-30.187166213989258,S,0,0,1,44,2013-03-06,0:00:00,0:00:00,17:46:00,ADSE C 88 MAR13/N,88000,C,100,0,2,E,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.0008144317973749999,2013-03-15,2013-03-06,9
500096,153703869,21,814,24.417238235473633,70.540000916,24.427238235473634,70.540000916,2.0699999332,70.540000916,0.6305914521217346,-0.2300080507993698,0.006030705291777849,21.919424057006836,-25.836196899414062,S,0,0,1,44,2013-03-01,0:00:00,0:00:00,17:44:00,ADSE C 80 DEC13/N,80000,C,100,0,2,E,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.00088175001145,2013-12-20,2013-03-01,294
500096,153123219,21,814,25.62311363220215,78.88999939,25.63311363220215,78.88999939,20.760000229,78.88999939,0.753713846206665,0.6711771488189697,0.003880369244143367,17.80706024169922,-33.8600959777832,S,0,0,1,44,2013-03-13,0:00:00,0:00:00,17:51:00,ADSE C 60 DEC15/N,60000,C,100,0,2,E,2015-12-18,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.0013148333231666667,2015-12-18,2013-03-13,1010
500096,153740233,21,814,24.619699478149414,76.199996948,24.629699478149416,76.199996948,0.8899999857,76.199996948,0.6297858357429504,-0.29653409123420715,0.005879273172467947,23.44076156616211,-26.49342918395996,S,0,0,1,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADSE C 88 SEP13/N,88000,C,100,0,2,E,2013-09-20,2013-01-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.0008659090562272728,2013-09-20,2013-03-08,196
500096,153123366,21,814,24.22167205810547,76.199996948,24.23167205810547,76.199996948,0.0599999987,76.199996948,0.6349145174026489,-0.22820620238780975,0.0052968598902225494,20.444129943847656,-26.9044246673584,S,0,0,1,44,2013-03-08,0:00:00,0:00:00,17:45:00,ADSE C 80 MAR13/N,80000,C,100,0,1,E,2013-03-15,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.00095249996185,2013-03-15,2013-03-08,7
500096,153123593,21,814,24.085603713989258,79.75,24.09560371398926,79.75,7.7800002098,79.75,0.7069816589355469,0.053339675068855286,0.004596269223839045,11.89770221710205,-38.206844329833984,S,0,0,1,44,2013-03-15,0:00:00,0:00:00,17:54:00,ADSE C 72 JUN13/N,72000,C,100,0,2,E,2013-06-21,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.001107638888888889,2013-06-21,2013-03-15,98
500096,153779761,21,814,25.73872947692871,70.279998779,25.748729476928713,70.279998779,19.340000153,70.279998779,0.680359423160553,0.6925666928291321,0.0029113690834492445,16.677343368530273,-15.539209365844727,S,0,0,1,44,2013-03-04,0:00:00,0:00:00,17:50:00,ADSE C 50 MAY13/N,50000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.00140559997558,2013-05-17,2013-03-04,74
500096,153779785,21,814,25.39969253540039,78.900001526,25.409692535400392,78.900001526,17.659999847,78.900001526,0.756243109703064,0.6567580699920654,0.0038601765409111977,17.976343154907227,-36.243900299072266,S,0,0,1,44,2013-03-14,0:00:00,0:00:00,17:52:00,ADSE C 60 MAY13/N,60000,C,100,0,2,E,2013-05-17,2013-02-18,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.0013150000254333334,2013-05-17,2013-03-14,64
500096,153532270,21,814,25.97494125366211,78.269996643,25.98494125366211,78.269996643,0.5400000215,78.269996643,0.6345983147621155,-0.3588871359825134,0.005404068157076836,24.043228149414062,-29.510679244995117,S,0,0,1,44,2013-03-12,0:00:00,0:00:00,17:58:00,ADSE C 100 DEC13/N,100000,C,100,0,2,E,2013-12-20,2013-01-02,11730015,adidas AG,4031976,DE000A1EWWW0,0.010000000000001563,0.00078269996643,2013-12-20,2013-03-12,283
