symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs,variação
PETRK292,2022-11-11T00:00:00.000Z,"{'price': 26.99, 'symbol': 'PETR4'}",CALL,2022-11-18T00:00:00.000Z,13.02,13.07,EUROPEAN,5,ITM,1.0,0.0,0.0,-0.0010329233673467,0.0025822732989723,0.0,100.0,13.9752,0.9051999999999989
PETRX47,2022-11-07T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,47.02,18.86,EUROPEAN,28,ITM,-1.0,0.0,0.0,0.0037234624784271,-0.0521284225695054,0.0,100.0,19.7656,0.9055999999999997
PETRR503,2022-11-17T00:00:00.000Z,"{'price': 27.16, 'symbol': 'PETR4'}",PUT,2023-06-16T00:00:00.000Z,37.06,8.55,EUROPEAN,151,ITM,-1.0,0.0,0.0,0.0029062316806452,-0.2194203640145249,0.0,100.0,9.4585,0.9085000000000001
PETRX408,2022-11-09T00:00:00.000Z,"{'price': 26.9, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,35.52,8.44,EUROPEAN,27,ITM,-0.79096,0.0369668108124265,0.0253081402332811,-0.0389546226081807,-0.0328137646927619,88.304,86.41,9.3493,0.9093
PETRX386,2022-11-21T00:00:00.000Z,"{'price': 26.78, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,42.27,14.52,EUROPEAN,18,ITM,-1.0,0.0,0.0,0.0033499727806379,-0.0301499359242717,0.0,100.0,15.4297,0.9097000000000008
PETRM218,2022-11-18T00:00:00.000Z,"{'price': 26.7, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,39.27,11.52,EUROPEAN,45,ITM,-1.0,0.0,0.0,0.0031055555939638,-0.0698748331641838,0.0,100.0,12.43,0.9100000000000001
PETRM275,2022-11-10T00:00:00.000Z,"{'price': 26.12, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,34.52,8.13,EUROPEAN,51,ITM,-0.790455,0.0381885133787485,0.0338220661361874,-0.0189128140564011,-0.0600878617832144,64.143,86.36,9.0438,0.9137999999999984
PETRW372,2022-11-09T00:00:00.000Z,"{'price': 26.9, 'symbol': 'PETR4'}",PUT,2022-11-18T00:00:00.000Z,39.27,11.54,EUROPEAN,7,ITM,-0.951578,0.0174819684117146,0.0045070233613186,-0.0382706357560145,-0.0105703087615015,128.261,96.95,12.4554,0.9154
PETRM490,2022-11-10T00:00:00.000Z,"{'price': 26.12, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,35.77,8.59,EUROPEAN,51,ITM,-1.0,0.0,0.0,0.0028274213691817,-0.0720992618786627,0.0,100.0,9.5055,0.9154999999999998
PETRM257,2022-11-04T00:00:00.000Z,"{'price': 28.3, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,34.02,5.38,EUROPEAN,55,ITM,-0.770458,0.0504813188240133,0.0401007817082435,-0.0143369075359898,-0.0613309941149746,45.445,82.96,6.2968,0.9168000000000003
PETRX412,2022-11-07T00:00:00.000Z,"{'price': 27.15, 'symbol': 'PETR4'}",PUT,2022-12-16T00:00:00.000Z,41.77,13.61,EUROPEAN,28,ITM,-1.0,0.0,0.0,0.0033077207087176,-0.0463080436139567,0.0,100.0,14.5273,0.9173000000000009
PETRM262,2022-11-08T00:00:00.000Z,"{'price': 27.35, 'symbol': 'PETR4'}",PUT,2023-01-20T00:00:00.000Z,34.27,6.54,EUROPEAN,53,ITM,-0.792274,0.0441308304346857,0.0359173130838269,-0.015217927920485,-0.0612587697853336,51.734,85.35,7.4582,0.9181999999999997
PETRP362,2022-11-04T00:00:00.000Z,"{'price': 28.3, 'symbol': 'PETR4'}",PUT,2023-04-20T00:00:00.000Z,36.26,6.7,EUROPEAN,119,ITM,-1.0,0.0,0.0,0.0028507267203401,-0.1696181600398906,0.0,100.0,7.6192,0.9192
PETRL317,2022-11-11T00:00:00.000Z,"{'price': 26.99, 'symbol': 'PETR4'}",CALL,2022-12-16T00:00:00.000Z,13.02,13.07,EUROPEAN,25,ITM,1.0,0.0,0.0,-0.0010312851086337,0.0128910184813769,0.0,100.0,13.9958,0.9257999999999988
