symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs,variação
VALEX937,2022-11-09T00:00:00.000Z,"{'price': 73.15, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,90.41,16.62,EUROPEAN,27,ITM,-0.885303,0.016211972660551,0.04638881572737,-0.0363312833437394,-0.088339989973498,49.91,91.39,17.6906,1.0705999999999989
VALEX524,2022-11-21T00:00:00.000Z,"{'price': 79.92, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,147.91,66.7,EUROPEAN,18,ITM,-1.0,0.0,0.0,0.0117221309198996,-0.1054998112741669,0.0,100.0,67.7788,1.078800000000001
VALEX3,2022-11-29T00:00:00.000Z,"{'price': 84.44, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,104.91,19.28,EUROPEAN,13,ITM,-1.0,0.0,0.0,0.0083176044424674,-0.0540641128070694,0.0,100.0,20.3618,1.0817999999999977
VALEX902,2022-11-09T00:00:00.000Z,"{'price': 73.15, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,86.91,12.49,EUROPEAN,27,ITM,-1.0,0.0,0.0,0.0068828542407734,-0.0929186561418182,0.0,100.0,13.574,1.0839999999999996
VALEW853,2022-11-08T00:00:00.000Z,"{'price': 74.05, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,85.34,10.92,EUROPEAN,8,ITM,-0.840496,0.0246731659235688,0.0320368971127065,-0.1434610795365266,-0.0235723038316857,74.591,87.06,12.0141,1.0940999999999992
VALEW911,2022-11-04T00:00:00.000Z,"{'price': 72.25, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,87.84,14.42,EUROPEAN,10,ITM,-0.997604,0.0015164075338033,0.00107484145759,0.0051135346944581,-0.0347625669510746,34.218,99.81,15.5238,1.1037999999999997
VALEW808,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,80.84,10.48,EUROPEAN,13,ITM,-1.0,0.0,0.0,0.0064092569166816,-0.0416599264066676,0.0,100.0,11.5866,1.1066000000000003
VALEX842,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,80.91,10.42,EUROPEAN,33,ITM,-1.0,0.0,0.0,0.0064046325974075,-0.1056761304348603,0.0,100.0,11.5284,1.1083999999999996
VALEX102,2022-11-29T00:00:00.000Z,"{'price': 84.44, 'symbol': 'VALE3'}",PUT,2022-12-16T00:00:00.000Z,98.91,13.3,EUROPEAN,13,ITM,-0.981528,0.0072421547926715,0.0086793045991777,-0.0031552671951093,-0.0501885927097747,32.582,98.46,14.409,1.109
VALEW898,2022-11-14T00:00:00.000Z,"{'price': 83.31, 'symbol': 'VALE3'}",PUT,2022-11-18T00:00:00.000Z,98.84,15.48,EUROPEAN,3,ITM,-0.836175,0.0184075666802183,0.0224600114396099,-0.5459188481488334,-0.0102683305308194,147.669,87.29,16.5905,1.1104999999999983
