symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs
VALEA842,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,80.91,1.62,EUROPEAN,58,OTM,0.234758,0.023823774638403246,0.10191740100830662,-0.03529236044984098,0.033645114717843705,38.849,18.15,1.62
VALEA847,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,81.41,1.55,AMERICAN,58,OTM,0.226052,0.023216631833268685,0.09978664154191712,-0.03469351663840276,0.032420060587604056,39.031,17.38,1.5501
VALEA852,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,81.91,1.55,EUROPEAN,58,OTM,0.222551,0.022515544939879478,0.09890659573832503,-0.035111805745971746,0.03186291712562147,39.891,16.98,1.55
VALEA862,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,82.91,1.45,EUROPEAN,58,OTM,0.208756,0.0213493113569757,0.09530345194669489,-0.034336069972888135,0.02989674547265463,40.538,15.74,1.45
VALEA867,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,83.41,1.25,AMERICAN,58,OTM,0.190176,0.020879456297240882,0.09010182375238635,-0.031383490946242217,0.027399242268774975,39.188,14.34,1.25
VALEA872,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,83.91,1.25,EUROPEAN,58,OTM,0.18743,0.02028578817662143,0.08929776983756595,-0.03170255081614668,0.02696216157354454,39.975,14.03,1.25
VALEA900,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,68.41,6.46,AMERICAN,58,ATM,0.571616,0.026249154869319665,0.13024711077394072,-0.053219275564792355,0.07613361032144422,45.06,48.58,6.46
VALEA902,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,86.91,0.87,EUROPEAN,58,OTM,0.140416,0.01691762135997946,0.07400913097516193,-0.026047780641461404,0.02035188834918127,39.727,10.22,0.87
VALEA910,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,87.41,0.83,AMERICAN,58,OTM,0.134747,0.016393661810705458,0.07195635445139845,-0.025399075709448233,0.019541579396416396,39.859,9.76,0.83
VALEA92,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,70.41,5.1,AMERICAN,58,ATM,0.513632,0.028820654978134783,0.13230851519773942,-0.04996482660816303,0.07003255563407274,41.689,43.41,5.1
VALEA96,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,74.41,3.51,AMERICAN,58,OTM,0.401926,0.028359512220433977,0.12836523303933633,-0.047413487179317246,0.05590839641571814,41.104,32.8,3.51
VALEA98,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-01-20T00:00:00.000Z,76.41,3.05,AMERICAN,58,OTM,0.356946,0.02658511046843025,0.12378083153985484,-0.046835089635183146,0.049806290104477506,42.282,28.45,3.05
VALEB710,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-02-17T00:00:00.000Z,67.66,8.65,EUROPEAN,78,ATM,0.595309,0.019865554382588343,0.14912141271996482,-0.051034985960173036,0.10068049512242729,50.689,48.37,8.65
VALEB800,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-02-17T00:00:00.000Z,76.66,1.78,EUROPEAN,78,OTM,0.289681,0.03229592659801965,0.1316595266866151,-0.02468181859062518,0.05651065474074307,27.528,23.96,1.78
VALEC449,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-03-17T00:00:00.000Z,44.91,26.5,EUROPEAN,98,ITM,0.891652,0.006236884248372169,0.08023211101057676,-0.03109333716916198,0.13679401062224206,69.138,78.94,26.5
VALEC804,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2023-03-17T00:00:00.000Z,80.41,3.3,AMERICAN,98,OTM,0.329001,0.020811960613313682,0.15602303421153374,-0.03361775213410578,0.075665903910355,40.292,24.39,3.3001
VALED100,2022-11-01T00:00:00.000Z,"{'price': 69.17, 'symbol': 'VALE3'}",CALL,2024-04-19T00:00:00.000Z,96.66,7.23,AMERICAN,383,OTM,0.375427,0.010452207585555592,0.32347087971200805,-0.019459305930632623,0.28479095813992106,42.559,19.98,7.2301
