symbol,time,spot,type,due_date,strike,premium,maturity_type,days_to_maturity,moneyness,delta,gamma,vega,theta,rho,volatility,poe,bs
PETRA302,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,36.02,0.66,EUROPEAN,58,OTM,0.211356,0.04782010548334945,0.041441952472536556,-0.015535530329700658,0.013006458491733857,42.23,15.76,0.66
PETRA308,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,36.27,0.6,AMERICAN,58,OTM,0.197832,0.046574377255556416,0.039842819017581264,-0.014739365196399276,0.012215173089895386,41.686,14.7,0.6
PETRA312,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,37.52,0.53,EUROPEAN,58,OTM,0.171522,0.04015992681016946,0.036458179929502024,-0.01426813775832627,0.010568150632316226,44.238,12.29,0.53
PETRA316,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,25.02,6.17,EUROPEAN,58,ITM,0.782791,0.03471266422088526,0.04210564371116487,-0.022820313492472016,0.03959687533464961,59.108,69.08,6.17
PETRA321,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,25.52,5.64,EUROPEAN,58,ITM,0.772497,0.038502264631779935,0.0432327584673763,-0.021775720075837068,0.04010923458474702,54.717,68.6,5.64
PETRA327,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,38.02,0.43,EUROPEAN,58,OTM,0.147818,0.03748779226017083,0.033075259877654924,-0.012575051692974746,0.009169149616045142,42.994,10.53,0.43
PETRA330,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,14.27,16.0,AMERICAN,58,ITM,0.955529,0.00610982586342808,0.013449739480322692,-0.01343210406223182,0.028843758469681204,107.27,88.23,16.0
PETRA331,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,26.52,4.75,EUROPEAN,58,ITM,0.73744,0.045725956747098145,0.046700770812714704,-0.021407008975247544,0.03974832759160626,49.768,65.42,4.75
PETRA345,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,38.52,0.41,EUROPEAN,58,OTM,0.139873,0.03534082837626033,0.03186520162324237,-0.012368471446916031,0.00866915829841297,43.937,9.82,0.41
PETRA351,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,26.27,4.79,AMERICAN,58,ITM,0.758404,0.04633331113653598,0.04469451227677913,-0.019528411145133068,0.04109702615426806,47.006,68.28,4.79
PETRA352,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,35.27,0.85,AMERICAN,58,OTM,0.251699,0.05104243739864978,0.04568596642367024,-0.017706852158008258,0.015341821029833823,43.616,18.99,0.85
PETRA362,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,30.52,2.32,EUROPEAN,58,ATM,0.510659,0.062286144932058765,0.05712930411503802,-0.0230380975920848,0.029755623377768346,44.695,42.56,2.32
PETRA366,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,30.02,2.58,EUROPEAN,58,ATM,0.542022,0.06098581344468992,0.05683234060593452,-0.02332801081354616,0.03131259354821354,45.411,45.53,2.58
PETRA368,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,27.27,4.31,AMERICAN,58,ITM,0.696771,0.048381304176475674,0.050048450621802784,-0.023058089399751593,0.03796604335301843,50.409,60.77,4.31
PETRA372,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,37.27,0.55,AMERICAN,58,OTM,0.177614,0.04134480926529822,0.03727515189883016,-0.014494570250925227,0.010940717999393742,43.933,12.81,0.55
PETRA376,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,31.02,2.25,EUROPEAN,58,ATM,0.485803,0.05915296877183594,0.057113546282909995,-0.024137881673507815,0.02820844026026009,47.05,39.69,2.25
PETRA381,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,31.52,1.98,EUROPEAN,58,OTM,0.453635,0.060586710177924545,0.05676329265060993,-0.023258340023025154,0.0266191344542889,45.654,36.86,1.98
PETRA382,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,38.27,0.45,AMERICAN,58,OTM,0.149811,0.03663853800466007,0.03337265314581646,-0.013088913606657645,0.009260128299910691,44.386,10.56,0.45
PETRA383,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,40.02,0.25,EUROPEAN,58,OTM,0.094987,0.02773732526499204,0.02420990352243115,-0.009082044241461503,0.00595266139993708,42.533,6.49,0.25
PETRA386,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,32.02,1.7,EUROPEAN,58,OTM,0.418678,0.06223766042840912,0.05595821068188748,-0.021992575949331086,0.024861179126799745,43.813,33.89,1.7
PETRA388,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,29.27,3.07,AMERICAN,58,ATM,0.587749,0.05685223406703891,0.05576166753934527,-0.024124346426445908,0.033327429667334894,47.795,49.7,3.07
PETRA391,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,26.02,5.26,EUROPEAN,58,ITM,0.752008,0.04111482415442458,0.04532754736926747,-0.02235697463505163,0.039575733667266966,53.723,66.39,5.26
PETRA395,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,40.52,0.23,EUROPEAN,58,OTM,0.087781,0.02588019769466148,0.022834531283693726,-0.00865328170897955,0.005503366499664222,42.995,5.93,0.23
PETRA397,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,33.27,1.33,AMERICAN,58,OTM,0.350255,0.05875084286314634,0.0530748139084986,-0.020866225037385916,0.02101035167690459,44.022,27.56,1.33
PETRA402,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,40.27,0.24,AMERICAN,58,OTM,0.091365,0.02679887668198932,0.023524437824862295,-0.008872200659470378,0.005726723235114138,42.776,6.21,0.24
PETRA404,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,30.27,2.32,AMERICAN,58,ATM,0.5234,0.06494652593048106,0.057051374472514,-0.022109066523972987,0.030631249554593603,42.806,44.17,2.32
PETRA412,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,41.27,0.2,AMERICAN,58,OTM,0.077233,0.0232240362135705,0.02073630430933826,-0.007944997342732938,0.004847598167161155,43.51,5.13,0.2
PETRA414,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,31.27,1.99,AMERICAN,58,ATM,0.464172,0.06276704082533656,0.05691900868263864,-0.02262495562029534,0.027320271666908175,44.189,38.14,1.99
PETRA420,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,28.77,3.39,AMERICAN,58,ATM,0.616127,0.05442341000370704,0.05471104989546441,-0.024295667099698843,0.03454125386042168,48.987,52.4,3.39
PETRA424,2022-11-01T00:00:00.000Z,"{'price': 29.86, 'symbol': 'PETR4'}",CALL,2023-01-20T00:00:00.000Z,32.27,1.67,AMERICAN,58,OTM,0.408017,0.06055592888503651,0.05562385813473478,-0.02229784429290357,0.02419753591805389,44.761,32.73,1.67
