True Premium,Predicted Premium,Residuals
7.300000000000001,8.942322,-1.6423217773437493
25.660000000000004,24.574366,1.0856343841552771
0.30999999999999994,0.36830923,-0.05830922961235052
1.5500000000000003,1.6028924,-0.05289239883422825
0.81,0.87509155,-0.06509155273437495
0.81,0.71646714,0.09353285789489751
0.009999999999999998,0.09219408,-0.08219408035278321
2.21,2.1117404,0.09825964927673336
7.780000000000003,6.7002797,1.079720287323001
0.6700000000000002,0.69665253,-0.02665253162384018
0.2999999999999999,0.9409753,-0.6409753084182741
4.44,4.1786275,0.26137250900268594
3.6500000000000004,4.44474,-0.7947398185729977
6.920000000000001,6.992033,-0.07203300476074137
21.949999999999996,22.526558,-0.5765579223632855
0.049999999999999996,0.17485641,-0.12485640943050386
0.009999999999999998,0.09219408,-0.08219408035278321
23.060000000000002,23.399548,-0.3395475769042946
5.920000000000001,5.69057,0.2294301223754891
1.0700000000000003,1.2492361,-0.1792361068725583
0.049999999999999996,0.09219408,-0.04219408035278321
0.06,0.07277459,-0.012774589061737063
0.4000000000000001,0.39412156,0.005878442525863725
1.7200000000000002,2.3024256,-0.5824256229400633
0.46,0.47692862,-0.016928621530532817
26.500000000000004,24.10582,2.394180297851566
16.049999999999997,14.961077,1.0889232635498018
0.36,0.3956479,-0.03564791321754457
5.0,4.042081,0.9579191207885742
0.52,0.6364963,-0.11649630546569822
15.400000000000002,16.94267,-1.5426708221435526
11.43,10.044963,1.3850371170043942
17.25,18.1643,-0.9143009185791016
0.11999999999999998,0.09045309,0.029546911716461163
0.51,0.54049206,-0.03049205780029296
1.44,1.9969561,-0.5569561100006104
0.97,0.5831971,0.38680288314819333
2.75,3.7196698,-0.9696698188781738
9.450000000000001,8.843441,0.6065589904785167
0.049999999999999996,0.09219408,-0.04219408035278321
0.8200000000000001,1.2191613,-0.39916127204895013
4.11,4.3590374,-0.24903739929199187
15.829999999999998,15.283869,0.5461312103271467
1.5900000000000003,1.3368828,0.2531171703338626
17.850000000000005,15.311539,2.5384613037109425
0.52,0.53188074,-0.011880736351013166
0.79,0.87509155,-0.08509155273437496
7.100000000000001,6.5034738,0.5965262413024917
0.049999999999999996,0.09750224,-0.04750223904848099
5.65,4.347353,1.3026470184326175
4.280000000000001,4.4039044,-0.12390443801879769
12.229999999999999,14.059643,-1.8296427917480482
0.16000000000000003,0.3288908,-0.1688908004760742
4.690000000000001,4.705435,-0.015434799194334659
5.739999999999999,6.602727,-0.8627269363403327
19.130000000000003,17.644135,1.4858654785156276
4.4,4.8034077,-0.40340766906738246
0.49000000000000005,0.53447783,-0.04447782993316646
0.03,0.103338,-0.07333800315856934
5.44,5.303134,0.13686603546142617
0.32000000000000006,0.33063167,-0.01063167333602899
3.660000000000001,4.686266,-1.0262659454345693
0.8800000000000001,0.8258389,0.05416107654571545
9.22,8.856717,0.36328289031982486
11.070000000000002,10.798572,0.27142841339111534
9.210000000000003,7.5949783,1.6150216674804714
0.19000000000000003,0.29584894,-0.10584893584251401
21.130000000000003,18.044899,3.0851010131835963
15.640000000000004,14.820533,0.8194672012329143
0.15000000000000002,0.19820024,-0.0482002407312393
2.0599999999999996,2.6805532,-0.6205531978607182
6.950000000000001,7.207551,-0.25755100250244034
8.800000000000002,7.3388786,1.4611213684082056
15.330000000000002,13.795983,1.5340166854858417
16.059999999999995,15.652182,0.40781837463378423
2.65,2.994412,-0.34441194534301767
0.13,0.1483576,-0.018357599973678584
2.49,2.4369197,0.053080310821533416
4.710000000000001,4.7147837,-0.004783668518065554
8.13,11.08292,-2.95292007446289
20.31,17.855679,2.4543214416503893
29.250000000000004,25.771275,3.478725433349613
0.09,0.09219408,-0.0021940803527832065
0.02,0.103338,-0.08333800315856933
4.5,3.843431,0.6565690040588379
10.939999999999998,9.270184,1.6698164367675759
0.55,0.53699684,0.013003158569335982
4.45,4.374777,0.07522315979003924
4.55,4.83421,-0.28420991897583026
0.039999999999999994,0.17485641,-0.13485640943050387
0.03,0.09219408,-0.062194080352783204
3.1099999999999994,3.3191319,-0.20913185119628963
0.19000000000000003,0.14662968,0.04337032377719882
1.75,1.891346,-0.14134597778320312
9.299999999999999,9.059133,0.2408674240112294
0.06,0.19894081,-0.13894081354141236
9.1,9.8387165,-0.7387165069580082
26.309999999999995,25.37119,0.9388108825683545
5.76,5.412337,0.3476631736755369
8.699999999999998,8.15407,0.5459300994873022
1.27,1.1637337,0.10626627922058107
3.71,3.2483006,0.4616994476318359
13.299999999999999,13.220248,0.07975177764892472
6.930000000000001,6.7722373,0.15776269912719787
2.5,2.5930982,-0.09309816360473633
12.600000000000001,12.8143425,-0.21434249877929545
7.969999999999999,6.961359,1.0086409759521473
8.850000000000001,8.704599,0.14540061950683736
0.21,0.70687044,-0.49687043666839603
6.2,5.607374,0.5926258087158205
17.329999999999995,15.652182,1.6778183746337838
3.7,3.8645735,-0.1645734786987303
7.26,5.8587947,1.401205310821533
0.78,0.69665253,0.0833474683761597
0.6000000000000001,1.5477717,-0.9477716922760009
5.55,5.3113804,0.23861961364746076
16.190000000000005,14.68871,1.5012897872924853
0.08,0.07277459,0.007225410938262941
1.0099999999999998,0.9081229,0.10187710285186746
4.650000000000001,4.837621,-0.187621212005614
1.06,1.0022249,0.05777507781982427
0.009999999999999998,0.09219408,-0.08219408035278321
0.8200000000000001,0.7855294,0.03447062492370612
20.470000000000002,16.572018,3.897982330322268
14.689999999999996,14.192191,0.4978088760375936
6.880000000000002,6.381221,0.4987791824340837
2.4,2.9304824,-0.5304823875427247
1.3200000000000003,1.4390996,-0.1190995502471921
